iter	Passed	Remaining
1177	156994	242821
1178	157105	242654
1179	157213	242482
1180	157319	242306
1181	157424	242129
1182	157527	241950
1183	157633	241775
1184	157767	241644
1185	157896	241505
1186	158029	241370
1187	158168	241246
1188	158316	241137
1189	158447	241000
1190	158562	240838
1191	158696	240706
1192	158834	240581
1193	158961	240439
1194	159091	240301
1195	159222	240164
1196	159356	240033
1197	159481	239887
1198	159595	239726
1199	159731	239597
1200	159873	239477
1201	159994	239325
1202	160113	239172
1203	160226	239009
1204	160373	238896
1205	160496	238748
1206	160621	238603
1207	160761	238481
1208	160894	238347
1209	161020	238203
1210	161136	238045
1211	161235	237862
1212	161344	237693
1213	161446	237515
1214	161549	237338
1215	161649	237157
1216	161747	236972
1217	161852	236799
1218	161968	236640
1219	162098	236503
1220	162215	236349
1221	162346	236213
1222	162488	236093
1223	162620	235959
1224	162735	235800
1225	162886	235693
1226	163027	235573
1227	163165	235446
1228	163300	235317
1229	163435	235188
1230	163582	235075
1231	163724	234954
1232	163863	234830
1233	164009	234717
1234	164141	234582
1235	164279	234457
1236	164424	234341
1237	164549	234197
1238	164662	234035
1239	164776	233876
1240	164879	233701
1241	164986	233531
1242	165085	233350
1243	165192	233181
1244	165300	233014
1245	165409	232847
1246	165528	232696
1247	165665	232568
1248	165798	232436
1249	165934	232308
1250	166065	232172
1251	166180	232016
1252	166307	231875
1253	166444	231747
1254	166553	231582
1255	166668	231424
1256	166799	231290
1257	166933	231158
1258	167048	231001
1259	167183	230872
1260	167318	230742
1261	167447	230605
1262	167564	230450
1263	167678	230292
1264	167805	230151
1265	167953	230040
1266	168081	229901
1267	168194	229742
1268	168292	229561
1269	168400	229395
1270	168500	229219
1271	168604	229047
1272	168704	228870
1273	168814	228707
1274	168914	228531
1275	169021	228363
1276	169149	228226
1277	169262	228066
1278	169390	227928
1279	169527	227802
1280	169658	227667
1281	169779	227520
1282	169905	227379
1283	170024	227229
1284	170158	227099
1285	170289	226964
1286	170417	226826
1287	170551	226695
1288	170673	226550
1289	170799	226409
1290	170920	226261
1291	171043	226116
1292	171170	225976
1293	171301	225842
1294	171422	225694
1295	171564	225575
1296	171697	225443
1297	171820	225299
1298	171967	225186
1299	172070	225015
1300	172172	224843
1301	172278	224676
1302	172380	224504
1303	172479	224329
1304	172581	224157
1305	172687	223991
1306	172793	223825
1307	172916	223681
1308	173033	223529
1309	173164	223395
1310	173312	223283
1311	173468	223182
1312	173606	223056
1313	173717	222898
1314	173847	222762
1315	173973	222622
1316	174091	222472
1317	174211	222324
1318	174337	222184
1319	174491	222080
1320	174625	221949
1321	174751	221809
1322	174895	221693
1323	175029	221563
1324	175149	221415
1325	175283	221285
1326	175420	221158
1327	175518	220984
1328	175616	220809
1329	175708	220626
1330	175806	220450
1331	175918	220294
1332	176022	220127
1333	176134	219970
1334	176224	219785
1335	176337	219629
1336	176468	219496
1337	176604	219369
1338	176726	219225
1339	176849	219081
1340	176973	218940
1341	177108	218812
1342	177236	218675
1343	177346	218516
1344	177481	218388
1345	177600	218239
1346	177727	218101
1347	177859	217970
1348	177998	217846
1349	178134	217720
1350	178256	217576
1351	178385	217440
1352	178525	217318
1353	178676	217209
1354	178775	217037
1355	178876	216868
1356	178970	216690
1357	179077	216528
1358	179181	216362
1359	179281	216192
1360	179374	216014
1361	179472	215841
1362	179564	215662
1363	179690	215523
1364	179829	215399
1365	179959	215266
1366	180080	215122
1367	180208	214985
1368	180335	214848
1369	180462	214710
1370	180586	214570
1371	180713	214433
1372	180845	214301
1373	180975	214167
